"NGA","PolID","Start.Date","End.Date","HighGods","HighGods.No","MoralisingHighGods","SourceText","Number"
"Kachi Plain","AfKushn",30,250,"inactive","1",0,"At different times during Kushan history, and in different combinations, Kushan emperors patronised Greek religion, Hinduism (specifically, Siva worship), Zoroastrianism, and Buddhism [737], as well as a number of less well-known Indo-Iranian cults. Not much is known about the latter. In Greek religion: In Hinduism: ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [738] In Zoroastrianism, the following quote makes it clear the supreme god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13).""[739] In Buddhism: ""There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.""","6"
"Kachi Plain","IrSasn1",251,495,"moralizing","3",1,"The following quote makes it clear the Zoroastrian god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13).""","5"
"Kachi Plain","AfHepht",496,531,"moralizing","3",1,"""Summarizing, in the Hephthalite state was several religions: Buddhism, Zoroastrism, Christianity (basically Nestorianism), Manichaeism, Hinduism, as well as pagan views (the worship of the Sky, Fire). The Hephthalites held various religious views. It is difficult to say if one of religion dominated, because of the controversial nature of the sources. It seems that different religions co-existed and religious tolerance was characteristic in the Hephthalite empire, as it was later for the Turks and the Mongols in the time of Chingis khan."" [497] In Hinduism: ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [498] In Zoroastrianism, the following quote makes it clear the supreme god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13).""[499] In Buddhism: ""There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else."" [500] In Manicheism: ""However, it is stressed in Manicheism that it was the Father of Greatness himself who, of all the beings in the World of Light, stood up against the attack of the powers of Darkness (Keph. 63). He did so in the person of the First Man, who is called his own Soul and Self according to Alexander of Lycopolis (see above). He saved the World of Light at the cost of some of his own light substance. After this achievement he remained unmolested by the powers of Darkness, but that does not mean that he became a passive deus absconditus. (Cf. Psalm-Book ,ed. Allberry, 1938, p. 161, 31-32: “One is the God that is hidden, that is revealed . . silent . . He it is that speaks also,” similarly ibid., p. 171, 27-28). On the contrary, he is a deity who is often praised and invoked (see Boyce, 1960, p. 148, section 40.), and that can only mean that he constantly intervenes in the world on behalf of the Living Soul.""","7"
"Kachi Plain","AfHepht",496,531,"inactive","1",0,"""Summarizing, in the Hephthalite state was several religions: Buddhism, Zoroastrism, Christianity (basically Nestorianism), Manichaeism, Hinduism, as well as pagan views (the worship of the Sky, Fire). The Hephthalites held various religious views. It is difficult to say if one of religion dominated, because of the controversial nature of the sources. It seems that different religions co-existed and religious tolerance was characteristic in the Hephthalite empire, as it was later for the Turks and the Mongols in the time of Chingis khan."" [497] In Hinduism: ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [498] In Zoroastrianism, the following quote makes it clear the supreme god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13).""[499] In Buddhism: ""There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else."" [500] In Manicheism: ""However, it is stressed in Manicheism that it was the Father of Greatness himself who, of all the beings in the World of Light, stood up against the attack of the powers of Darkness (Keph. 63). He did so in the person of the First Man, who is called his own Soul and Self according to Alexander of Lycopolis (see above). He saved the World of Light at the cost of some of his own light substance. After this achievement he remained unmolested by the powers of Darkness, but that does not mean that he became a passive deus absconditus. (Cf. Psalm-Book ,ed. Allberry, 1938, p. 161, 31-32: “One is the God that is hidden, that is revealed . . silent . . He it is that speaks also,” similarly ibid., p. 171, 27-28). On the contrary, he is a deity who is often praised and invoked (see Boyce, 1960, p. 148, section 40.), and that can only mean that he constantly intervenes in the world on behalf of the Living Soul.""","7"
"Kachi Plain","IrSasn2",532,641,"moralizing","3",1,"The following quote makes it clear the Zoroastrian god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13).""","5"
"Kachi Plain","SyCalUm",670,750,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [455] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kachi Plain","IqAbbs1",750,861,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [486] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kachi Plain","PkSind1",862,1192,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [303] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kachi Plain","AfGhurd",1193,1206,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [308] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kachi Plain","InDelh*",1207,1339,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [429] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kachi Plain","PkSind2",1340,1519,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [298] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kachi Plain","InMugl*",1526,1740,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [366] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"" ","8"
"Kachi Plain","AfDurrn",1748,1826,"moralizing","3",1,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [338] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'""","8"
"Kansai","JpYayoi",-300,249,"suspected unknown",NA,NA,"-",NA
"Kansai","JpKofun",250,537,"suspected unknown",NA,NA,"-",NA
"Kansai","JpAsuka",538,710,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kansai","JpHeian",794,1184,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kansai","JpKamak",1185,1333,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kansai","JpAshik",1336,1466,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kansai","JpSengk",1467,1567,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kansai","JpAzMom",1568,1602,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kansai","JpTokgw",1603,1868,"active","2",0,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator.""","1"
"Kapuasi Basin","IdBrokE",1650,1841,"inactive","1",0,"The Iban believed in creator gods, but these were remote. The Iban were more concerned with malevolent spirits, who, however, had not participated in the creation of the world. 'Though the gods live in PANGGAU LIBAU, a remote and godly realm, they are unseen, ubiquitous presences. In contrast to the exclusive categories of Judaism and Christianity, ""supernaturals"" and ""mortals"" interact in all activities of importance. In contrast to the gods who are more benevolently inclined towards mortals, Iban believe in and fear a host of malevolent spirits. These spirits are patent projections onto a cosmic screen of anxieties and stresses suffered by Iban: the menacing father figure, the vengeful mother, the freeloader, and becoming lost in the forest. Iban strive to maintain good life and health by adherence to customary laws, avoidance of taboos, and the presentation of offerings and animal sacrifices.'","1"
"Kapuasi Basin","IdBrokL",1842,1987,"inactive","1",0,"The Iban believed in creator gods, but these were remote. The Iban were more concerned with malevolent spirits, who, however, had not participated in the creation of the world. 'Though the gods live in PANGGAU LIBAU, a remote and godly realm, they are unseen, ubiquitous presences. In contrast to the exclusive categories of Judaism and Christianity, ""supernaturals"" and ""mortals"" interact in all activities of importance. In contrast to the gods who are more benevolently inclined towards mortals, Iban believe in and fear a host of malevolent spirits. These spirits are patent projections onto a cosmic screen of anxieties and stresses suffered by Iban: the menacing father figure, the vengeful mother, the freeloader, and becoming lost in the forest. Iban strive to maintain good life and health by adherence to customary laws, avoidance of taboos, and the presentation of offerings and animal sacrifices.'","1"
"Konya Plain","TrNeoER",-9600,-7001,NA,NA,NA,"-",NA
"Konya Plain","TrNeoCR",-7000,-6601,"suspected unknown",NA,NA,"-",NA
"Konya Plain","TrNeoLT",-6600,-6001,"suspected unknown",NA,NA,"-",NA
"Konya Plain","TrClcER",-6000,-5501,NA,NA,NA,"-",NA
"Konya Plain","TrClcLT",-5000,-3001,NA,NA,NA,"-",NA
"Konya Plain","TrBrzER",-3000,-2001,NA,NA,NA,"-",NA
"Konya Plain","TrBrzMD",-2000,-1700,NA,NA,NA,"-",NA
"Konya Plain","TrHatOK",-1650,-1501,"absent","0",0,"""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [405] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers.""","1"
"Konya Plain","TrBrzL2",-1500,-1400,"absent","0",0,"""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [374] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers.""","1"
"Konya Plain","TrHatNK",-1344,-1181,"absent","0",0,"""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [566] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers.""","1"
"Konya Plain","TrNHitt",-1180,-901,"absent","0",0,"""They are commonly referred to as the Neo-Hittite kingdoms, since they preserved a number of Hittite cultural traditions, including elements of Hittite religion, architecture and iconography."" [271] Unfortunately, the authors of this quote do not then go on to explain which specific 'elements' of Hittite religion were preserved by the Neo-Hittites, but, for now, this seems sufficient to infer continuity. ""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [272] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers.""","2"
"Konya Plain","TrTabal",-900,-837,"absent","0",0,"""They are commonly referred to as the Neo-Hittite kingdoms, since they preserved a number of Hittite cultural traditions, including elements of Hittite religion, architecture and iconography."" [198] Unfortunately, the authors of this quote do not then go on to explain which specific 'elements' of Hittite religion were preserved by the Neo-Hittites, but, for now, this seems sufficient to infer continuity. ""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [199] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers.""","2"
"Konya Plain","TrPhryg",-836,-696,"suspected unknown",NA,NA,"-",NA
"Konya Plain","TrLydia",-670,-547,"suspected unknown",NA,NA,"-",NA
"Konya Plain","IrAchae",-546,-334,"moralizing","3",1,"The following quote makes it clear the Zoroastrian god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13).""","3"
