NGA,PolID,Number,Text
Kachi Plain,InMugl*,8,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [366] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"" "
Kachi Plain,AfDurrn,8,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [338] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Kansai,JpYayoi,NA,-
Kansai,JpKofun,NA,-
Kansai,JpAsuka,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kansai,JpHeian,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kansai,JpKamak,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kansai,JpAshik,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kansai,JpSengk,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kansai,JpAzMom,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kansai,JpTokgw,1,"""Incidents of uneasy relations between the Kami and the sovereign are based on tatari, the idea that the Kami react to the breaking of taboos, disrespect, failure to perform expected ritual, or improper ritual with punishments that might take the form of damaging storms, epidemics, and various misfortunes for the perpetrator."""
Kapuasi Basin,IdBrokE,1,"The Iban believed in creator gods, but these were remote. The Iban were more concerned with malevolent spirits, who, however, had not participated in the creation of the world. 'Though the gods live in PANGGAU LIBAU, a remote and godly realm, they are unseen, ubiquitous presences. In contrast to the exclusive categories of Judaism and Christianity, ""supernaturals"" and ""mortals"" interact in all activities of importance. In contrast to the gods who are more benevolently inclined towards mortals, Iban believe in and fear a host of malevolent spirits. These spirits are patent projections onto a cosmic screen of anxieties and stresses suffered by Iban: the menacing father figure, the vengeful mother, the freeloader, and becoming lost in the forest. Iban strive to maintain good life and health by adherence to customary laws, avoidance of taboos, and the presentation of offerings and animal sacrifices.'"
Kapuasi Basin,IdBrokL,1,"The Iban believed in creator gods, but these were remote. The Iban were more concerned with malevolent spirits, who, however, had not participated in the creation of the world. 'Though the gods live in PANGGAU LIBAU, a remote and godly realm, they are unseen, ubiquitous presences. In contrast to the exclusive categories of Judaism and Christianity, ""supernaturals"" and ""mortals"" interact in all activities of importance. In contrast to the gods who are more benevolently inclined towards mortals, Iban believe in and fear a host of malevolent spirits. These spirits are patent projections onto a cosmic screen of anxieties and stresses suffered by Iban: the menacing father figure, the vengeful mother, the freeloader, and becoming lost in the forest. Iban strive to maintain good life and health by adherence to customary laws, avoidance of taboos, and the presentation of offerings and animal sacrifices.'"
Konya Plain,TrNeoER,NA,-
Konya Plain,TrNeoCR,NA,-
Konya Plain,TrNeoLT,NA,-
Konya Plain,TrClcER,NA,-
Konya Plain,TrClcLT,NA,-
Konya Plain,TrBrzER,NA,-
Konya Plain,TrBrzMD,NA,-
Konya Plain,TrHatOK,1,"""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [405] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers."""
Konya Plain,TrBrzL2,1,"""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [374] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers."""
Konya Plain,TrHatNK,1,"""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [566] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers."""
Konya Plain,TrNHitt,2,"""They are commonly referred to as the Neo-Hittite kingdoms, since they preserved a number of Hittite cultural traditions, including elements of Hittite religion, architecture and iconography."" [271] Unfortunately, the authors of this quote do not then go on to explain which specific 'elements' of Hittite religion were preserved by the Neo-Hittites, but, for now, this seems sufficient to infer continuity. ""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [272] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers."""
Konya Plain,TrTabal,2,"""They are commonly referred to as the Neo-Hittite kingdoms, since they preserved a number of Hittite cultural traditions, including elements of Hittite religion, architecture and iconography."" [198] Unfortunately, the authors of this quote do not then go on to explain which specific 'elements' of Hittite religion were preserved by the Neo-Hittites, but, for now, this seems sufficient to infer continuity. ""The Hittites were polytheists in the fullest possible sense. By the time of the New Kingdom they practised what has been referred to as an extreme form of polytheism."" [199] ""Yet prone though the gods were to the frailties of humankind, they none the less were concerned to ensure the exercise of justice, moral­ity, and right conduct amongst their mortal worshippers."""
Konya Plain,TrPhryg,NA,-
Konya Plain,TrLydia,NA,-
Konya Plain,IrAchae,3,"The following quote makes it clear the Zoroastrian god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13)."""
Konya Plain,TrLysim,4,"""The most important traditional religious teaching on this subject was that the gods required people to treat “strangers and suppliants” well. That is, you should assist strangers who come to your door in need (and definitely not harm them). You can see this when Odysseus disguised as a beggar receives hospitality (Homer was a basic school text in the Hellenistic period) or in the Hellenistic myth of Baucis and Philemon, a very poor elderly couple who received two strangers and gave them hospitality. The strangers turned out to be Zeus and Hermes, who rewarded the couple.” [329] ""It is now evident that, for Hesiod, κακότης‎ represents moral badness and the opposite to virtue, arete. A bad man (κακὸς ἀνήρ‎) does not follow justice (δίκη‎) with his mind, and acts immorally; he represents a source of religious pollution and danger for his community. Just as Hesiod connects the bad man with injustice and religious danger, so he presents moral righteousness and adherence to justice (δίκη‎) as coexisting with ritual correctness. Gregory Nagy points out that in Op. 336–41, a passage which follows the lines quoted above, the moral correctness of δίκη‎ is ‘programmatically re-enforced by the ritual correctness of the just man’:26 Perses is again reminded that gods punish unjust deeds (ἄδικα ἔργα‎; vv. 325–34), and that he should often sacrifice purely and cleanly to the deathless gods and propitiate them often with libations and incense (vv. 336–41). Religious correctness is thus laid out as avoiding unjust deeds and as honouring the gods with sacrifices and libations.//""In vv. 325–34 the following deeds are listed as unjust (ἄδικα ἔργα‎): gaining wealth by force, stealing, or deception; wronging a suppliant or a guest; engaging in illicit sexual intercourse; offending orphans or aged parents. These offences span both the social and religious spheres. This is stressed at the end of the passage, where Hesiod states that such deeds provoke the anger of Zeus himself, who inflicts grave punishments (vv. 333–4). Effectively, Zeus holds the transgressor in agos. To sum up, in Hesiod’s poem, justice is represented as a goddess and as a law given to humans by Zeus. It governs all social and religious relationships; it encompasses religious correctness. Moral goodness equals adherence to justice, whereas ‘badness’ (κακία‎ or κακότης‎) is equal to injustice and religious transgression."""
Konya Plain,IrSeleu,4,"""The most important traditional religious teaching on this subject was that the gods required people to treat “strangers and suppliants” well. That is, you should assist strangers who come to your door in need (and definitely not harm them). You can see this when Odysseus disguised as a beggar receives hospitality (Homer was a basic school text in the Hellenistic period) or in the Hellenistic myth of Baucis and Philemon, a very poor elderly couple who received two strangers and gave them hospitality. The strangers turned out to be Zeus and Hermes, who rewarded the couple.” [587] ""It is now evident that, for Hesiod, κακότης‎ represents moral badness and the opposite to virtue, arete. A bad man (κακὸς ἀνήρ‎) does not follow justice (δίκη‎) with his mind, and acts immorally; he represents a source of religious pollution and danger for his community. Just as Hesiod connects the bad man with injustice and religious danger, so he presents moral righteousness and adherence to justice (δίκη‎) as coexisting with ritual correctness. Gregory Nagy points out that in Op. 336–41, a passage which follows the lines quoted above, the moral correctness of δίκη‎ is ‘programmatically re-enforced by the ritual correctness of the just man’:26 Perses is again reminded that gods punish unjust deeds (ἄδικα ἔργα‎; vv. 325–34), and that he should often sacrifice purely and cleanly to the deathless gods and propitiate them often with libations and incense (vv. 336–41). Religious correctness is thus laid out as avoiding unjust deeds and as honouring the gods with sacrifices and libations.//""In vv. 325–34 the following deeds are listed as unjust (ἄδικα ἔργα‎): gaining wealth by force, stealing, or deception; wronging a suppliant or a guest; engaging in illicit sexual intercourse; offending orphans or aged parents. These offences span both the social and religious spheres. This is stressed at the end of the passage, where Hesiod states that such deeds provoke the anger of Zeus himself, who inflicts grave punishments (vv. 333–4). Effectively, Zeus holds the transgressor in agos. To sum up, in Hesiod’s poem, justice is represented as a goddess and as a law given to humans by Zeus. It governs all social and religious relationships; it encompasses religious correctness. Moral goodness equals adherence to justice, whereas ‘badness’ (κακία‎ or κακότης‎) is equal to injustice and religious transgression."""
Konya Plain,TrCappL,5,"The following quote makes it clear the Zoroastrian god, Ahura Mazda, was both responsible for the creation of the world and for punishing transgressors. ""[T]he prophet feels also the awe due to the God who is “Creator of all” (Y. 44.7), and who, as Lord of aša, presides over a strict justice for mankind by which the wicked, who have chosen to act “at Lie’s commands” (Y. 31.1) will be in due course condemned. Their destination is the Worst Existence, i.e., Hell, which has been brought into being by Angra Mainyu (Y. 30.4). Mazdā has “appointed recompenses” (Y. 43.5), decreeing that “the end shall be different for each” (Y. 48.4); but he “has left to men’s wills (the choice between) holy and unholy” (Y. 45.9), and it is their own inner selves (daēnā-) which lead sinners to destruction (Y. 51.13)."""
Konya Plain,ItRomPr,6,"Thomas Cressy: Coded as absent due to expert confirming that high gods were not present until Christianity[649] ""For the Romans, proper respect for the gods and proper interpersonal behavior were both integral to pietas, the key virtue. Pietas included duty to the family, the parents, one’s patron, and the state, as well as the gods. The gods were the guarantors of the welfare of the state and the continuance of the social order. Thus violating the social order by transgressing the mos maiorum (ancestral custom in any domain) was offensive to gods and liable to bring bad results on the group. [...] However, I think it is fair to say (1) that the Romans were more interested in punishing transgressions themselves than in waiting for the gods to do it. In their view, it was important to root out and punish wrongdoers so that they did not further contravene the mos maiorum and (by definition) anger the gods. Such punishment could avert disasters. (2) Punishment from the gods was expected to occur as disasters affecting the group/state, such as plague or famine or battle loss, more than the striking down of guilty individuals; (3) What we think of as the distinction between ritual transgression and ethical transgression tends to be collapsed, with ethical wrongdoing very often brought under the aegis of the gods or redefined as an offense to the gods."""
Konya Plain,TrRomDm,7,"Thomas Cressy: Coded as absent due to expert confirming that high gods were not present until Christianity[602] Before Constantine's conversion to Christianity: ""For the Romans, proper respect for the gods and proper interpersonal behavior were both integral to pietas, the key virtue. Pietas included duty to the family, the parents, one’s patron, and the state, as well as the gods. The gods were the guarantors of the welfare of the state and the continuance of the social order. Thus violating the social order by transgressing the mos maiorum (ancestral custom in any domain) was offensive to gods and liable to bring bad results on the group. [...] However, I think it is fair to say (1) that the Romans were more interested in punishing transgressions themselves than in waiting for the gods to do it. In their view, it was important to root out and punish wrongdoers so that they did not further contravene the mos maiorum and (by definition) anger the gods. Such punishment could avert disasters. (2) Punishment from the gods was expected to occur as disasters affecting the group/state, such as plague or famine or battle loss, more than the striking down of guilty individuals; (3) What we think of as the distinction between ritual transgression and ethical transgression tends to be collapsed, with ethical wrongdoing very often brought under the aegis of the gods or redefined as an offense to the gods.""[603]. As for Christianity: the Christian god is ""the creator of the universe, omniscient and omnipotent""[604] and he punishes moral transgression: ""[A]fter the Resurrection, when God and Jesus appear to pass judgement, one must 'render an account' (Matt. 12:36). Death ends the day during which good works are to be done, and then, 'the night cometh, when no man can work' (John 9:4). Everyone's work will be tried in fire and revealed (1 Cor, 3:12-13). The just, whom God will gather to His right, receive 'life everlasting', the merciless, however, who stand to His left, 'shall go into everlasting punishment' (Matt. 25:46). Everything is decided with death and that gives both life and death the weight of finality."""
Konya Plain,TrERom*,MS,-
Konya Plain,TrByzM1,8,"The Christian god is ""the creator of the universe, omniscient and omnipotent""[724] and he punishes moral transgression: ""[A]fter the Resurrection, when God and Jesus appear to pass judgement, one must 'render an account' (Matt. 12:36). Death ends the day during which good works are to be done, and then, 'the night cometh, when no man can work' (John 9:4). Everyone's work will be tried in fire and revealed (1 Cor, 3:12-13). The just, whom God will gather to His right, receive 'life everlasting', the merciless, however, who stand to His left, 'shall go into everlasting punishment' (Matt. 25:46). Everything is decided with death and that gives both life and death the weight of finality."""
Konya Plain,TrByzM2,8,"The Christian god is ""the creator of the universe, omniscient and omnipotent""[801] and he punishes moral transgression: ""[A]fter the Resurrection, when God and Jesus appear to pass judgement, one must 'render an account' (Matt. 12:36). Death ends the day during which good works are to be done, and then, 'the night cometh, when no man can work' (John 9:4). Everyone's work will be tried in fire and revealed (1 Cor, 3:12-13). The just, whom God will gather to His right, receive 'life everlasting', the merciless, however, who stand to His left, 'shall go into everlasting punishment' (Matt. 25:46). Everything is decided with death and that gives both life and death the weight of finality."""
Konya Plain,TrRum**,9,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [368] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Konya Plain,IrIlkhn,NA,-
Konya Plain,TrOttm1,9,"""Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [430] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Konya Plain,TrOttm2,9,"""Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [510] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Konya Plain,TrOttm3,9,"""Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [557] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Konya Plain,TrOttm4,9,"""Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [485] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Konya Plain,TrOttm5,9,"""Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [238] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"""
Latium,ItLatCA,1,Thomas Cressy: Coded as absent due to expert confirming that high gods were not present until Christianity
Latium,ItLatBA,1,Thomas Cressy: Coded as absent due to expert confirming that high gods were not present until Christianity
Latium,ItLatIA,1,Thomas Cressy: Coded as absent due to expert confirming that high gods were not present until Christianity
Latium,ItRomRg,2,"Thomas Cressy: Coded as absent due to expert confirming that high gods were not present until Christianity[575] Many elements of Roman religion in the Regnal era cannot be accurately reconstructed: ""all the accounts we have of Rome;s earliest history are found in writers (Dionysius amongst them) who lived in the first Century B.C. or later - more than 600 years after the dates usually given to the reigns of Romulus and Numa. None of our sources is contemporary with the events they describe. Nor could their authors have read any such contemporary accounts on which to base their own: so far as we know, there were no writers in earliest, regal Rome; there was no account left by Numa, say, of his religious foundations. Even for the earliest phases of the Republic (in the fifth and fourth centuries BC) , it is very hard to know what kind of information (or how reliable) was available to historians writing three or four centuries later."""
